itemname,tablename,action,condition,status,description,tags,notes,RunTime
Infeasibility Correction - Keep Base for First 15,InventoryConstraints,"PeriodName='Next15'","Notes = 'Depot_Capacity'",,,,,2023-04-14 13:17:22
2022 Budget Plan - 21 - Include Budget MFG (2.4M),ProductionConstraints,"Status='Include'","Notes = 'SOIP_MFG_2022BODPlan_V2'",,,,,2023-04-14 13:17:22
Set Repair Minimums,ProductionConstraints,"Status='Include'","Notes = 'Repair_Capacity_Minimums'",,,,,2023-04-14 13:17:22
Min Repair As Day Mins By Month V2,ProductionConstraints,"Status='Include'","Notes = 'MinRepairsPerDay_V2'",,,,,2023-04-14 13:17:22
Transfer Cube Adjustment,TransportationPolicies,AverageShipmentSize=535,"(OriginName LIKE 'D*') AND (DestinationName LIKE 'D*')",,,,,2023-04-14 13:17:22
Close Ranson,Facilities,"FacilityStatus='Exclude'","(FacilityName LIKE 'D_USA25438_75898*') AND (Region LIKE 'WV*')",,,,,2023-04-14 13:17:22
2022 Budget Plan - 12 - Include Budget Returns (v2),ProductionConstraints,"Status='Include'","Notes = 'Returns_OctSOIP_2022BODPlan_V2'",,,,,2023-04-14 13:17:22
Close Ranson - Open Up Locked Issues,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA17038_69889*' OR CustomerName LIKE 'I_USA17046_67811*' OR CustomerName LIKE 'I_USA17055_50332*' OR CustomerName LIKE 'I_USA17078_44131*' OR CustomerName LIKE 'I_USA17111_44147*' OR CustomerName LIKE 'I_USA17375_68974*' OR CustomerName LIKE 'I_USA19342_71635*') AND (GreenfieldCandidate LIKE 'Y*') AND (MileageBand LIKE 'LT0050*' OR MileageBand LIKE 'GT0050*' OR MileageBand LIKE 'GT0100*' OR MileageBand LIKE 'GT0150*' OR MileageBand LIKE 'GT0200*' OR MileageBand LIKE 'GT0300*' OR MileageBand LIKE 'GT0400*' OR MileageBand LIKE 'GT0500*')",,,,,2023-04-14 13:17:22
Close Ranson - Open Repairs At Just,ProductionConstraints,"Status='Exclude'","FacilityName LIKE 'D_USA08810_66673*'",,,,,2023-04-14 13:17:22
Close Ranson - Open Hazleton Repairs,ProductionConstraints,ConstraintValue=ConstraintValue*1.3,"FacilityName LIKE 'D_USA18202_50843*' AND Notes = 'Repair_Capacity'",,,,,2023-04-14 13:17:22
Add 1 Day Inventory,InventoryPolicies,InitialInventory=InitialInventory*1.16025,"Notes = 'SOIP_BeginningInventory'",,,,,2023-04-14 13:17:22
Add 2 Days Inventory,InventoryPolicies,InitialInventory=InitialInventory*1.3205,"Notes = 'SOIP_BeginningInventory'",,,,,2023-04-14 13:17:22
Subtract 1 Day Inventory,InventoryPolicies,InitialInventory=InitialInventory*0.89397,"Notes = 'SOIP_BeginningInventory'",,,,,2023-04-14 13:17:22
Subtract 2 Days Inventory,InventoryPolicies,InitialInventory=InitialInventory*0.67948,"Notes = 'SOIP_BeginningInventory'",,,,,2023-04-14 13:17:22
Closed Quarterly Sites - Sites,Facilities,"FacilityStatus='Exclude'","(FacilityName LIKE 'D_USA92509_75652*' OR FacilityName LIKE 'D_USA95377_65915*' OR FacilityName LIKE 'D_USA97133_42849*' OR FacilityName LIKE 'D_USA25438_75898*')",,,,,2023-04-14 13:17:22
Closed Quarterly Sites - Issues,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA17046_67811*' OR CustomerName LIKE 'I_USA17055_50332*' OR CustomerName LIKE 'I_USA17078_44131*' OR CustomerName LIKE 'I_USA17111_44147*' OR CustomerName LIKE 'I_USA19342_71635*') AND (GreenfieldCandidate LIKE 'Y*') AND (MileageBand LIKE 'LT0050*' OR MileageBand LIKE 'GT0050*' OR MileageBand LIKE 'GT0100*' OR MileageBand LIKE 'GT0150*' OR MileageBand LIKE 'GT0200*' OR MileageBand LIKE 'GT0300*' OR MileageBand LIKE 'GT0400*' OR MileageBand LIKE 'GT0500*')",,,,,2023-04-14 13:17:22
Annual Repair Variance - 020 - Expression - Next 12,UserDefinedConstraints,"Status='Include'","ConstraintName LIKE 'MonthlyRepairVariance*'",,,,,2023-04-14 13:17:22
Max WIP Inventory - Expression Constraints Adjust max,UserDefinedVariables,Coefficient=-50,"VariableName LIKE 'MaxWIPInventory*' AND TermName LIKE 'TotalInventory_Period*'",,,,,2023-04-14 13:17:22
Lock CPU and Dedicated Lanes - Renters - Exclude,CustomerFulfillmentPolicies,"Status='Exclude'","(CPUDedicated LIKE 'C*' OR CPUDedicated LIKE 'D*' OR CPUDedicated LIKE 'N*')",,,,,2023-04-14 13:17:22
